"Tip_Label","Family","Habitat","Habitat_Density","Migration","Trophic_Level","Trophic_Niche","Primary_Lifestyle","clutch_log","dev_mod_all"
"Chloephaga_rubidiceps","Anatidae","Grassland","Open","Partially_migratory","Herbivore","Herbivore_terrestrial","Terrestrial",0.740362689,"precocial"
"Chrysolophus_pictus","Phasianidae","Forest","Dense","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.93386675,"precocial"
"Colinus_virginianus","Odontophoridae","Shrubland","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",1.036429266,"precocial"
"Coscoroba_coscoroba","Anatidae","Wetland","Open","Partially_migratory","Omnivore","Aquatic_predator","Terrestrial",0.752048448,"precocial"
"Coturnix_coturnix","Phasianidae","Grassland","Open","Migratory","Herbivore","Granivore","Terrestrial",1.014517977,"precocial"
"Crax_rubra","Cracidae","Forest","Dense","Sedentary","Herbivore","Frugivore","Terrestrial",0.301029996,"semi-precocial"
"Crossoptilon_auritum","Phasianidae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",0.903089987,"precocial"
"Cyanochen_cyanoptera","Anatidae","Grassland","Open","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.825974579,"precocial"
"Cygnus_cygnus","Anatidae","Wetland","Open","Migratory","Herbivore","Herbivore_aquatic","Aquatic",0.664907876,"precocial"
"Cyrtonyx_montezumae","Odontophoridae","Forest","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",1.041393,"precocial"
"Dendragapus_obscurus","Phasianidae","Forest","Dense","Sedentary","Herbivore","Herbivore_terrestrial","Generalist",0.86332286,"precocial"
"Dendrocygna_bicolor","Anatidae","Wetland","Open","Partially_migratory","Herbivore","Omnivore","Terrestrial",1.046202414,"precocial"
"Eulipoa_wallacei","Megapodiidae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",0,"precocial"
"Falcipennis_canadensis","Phasianidae","Forest","Dense","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.763428,"precocial"
"Francolinus_natalensis","Phasianidae","Shrubland","Semi_open","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.767155866,"precocial"
"Galloperdix_bicalcarata","Phasianidae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",0.301029996,"precocial"
"Gallus_gallus","Phasianidae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",0.765916806,"precocial"
"Guttera_pucherani","Numididae","Forest","Dense","Sedentary","Omnivore","Omnivore","Terrestrial",0.653212514,"precocial"
"Heteronetta_atricapilla","Anatidae","Wetland","Open","Sedentary","Herbivore","Herbivore_aquatic","Aquatic",0.301029996,"precocial"
"Histrionicus_histrionicus","Anatidae","Marine_coastal","Open","Partially_migratory","Carnivore","Aquatic_predator","Aquatic",0.768082856,"precocial"
"Hymenolaimus_malacorhynchos","Anatidae","Riverine","Open","Sedentary","Carnivore","Aquatic_predator","Aquatic",0.764640079,"precocial"
"Ithaginis_cruentus","Phasianidae","Shrubland","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",0.653212514,"precocial"
"Lagopus_lagopus","Phasianidae","Grassland","Open","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.940142791,"precocial"
"Leipoa_ocellata","Megapodiidae","Shrubland","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",1.241380438,"precocial"
"Lerwa_lerwa","Phasianidae","Grassland","Open","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.602059991,"precocial"
"Lophodytes_cucullatus","Anatidae","Wetland","Open","Migratory","Carnivore","Aquatic_predator","Aquatic",1.03809005,"precocial"
"Lophonetta_specularioides","Anatidae","Wetland","Open","Sedentary","Carnivore","Aquatic_predator","Generalist",0.81264956,"precocial"
"Lophura_nycthemera","Phasianidae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",0.838849091,"precocial"
"Macrocephalon_maleo","Megapodiidae","Forest","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",1,"precocial"
"Margaroperdix_madagascariensis","Phasianidae","Forest","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",1.176091259,"precocial"
"Marmaronetta_angustirostris","Anatidae","Wetland","Open","Partially_migratory","Herbivore","Herbivore_aquatic","Aquatic",1.01494035,"precocial"
"Megapodius_nicobariensis","Megapodiidae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",1,"precocial"
"Melanitta_fusca","Anatidae","Wetland","Open","Migratory","Carnivore","Aquatic_predator","Aquatic",0.928922525,"precocial"
"Meleagris_gallopavo","Phasianidae","Forest","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",1.046007138,"precocial"
"Merganetta_armata","Anatidae","Riverine","Open","Sedentary","Carnivore","Aquatic_predator","Aquatic",0.544068044,"precocial"
"Mergellus_albellus","Anatidae","Wetland","Open","Migratory","Carnivore","Aquatic_predator","Aquatic",0.901730692,"precocial"
"Mergus_merganser","Anatidae","Riverine","Open","Migratory","Carnivore","Aquatic_predator","Aquatic",0.986024889,"precocial"
"Mitu_tomentosum","Cracidae","Forest","Dense","Sedentary","Herbivore","Frugivore","Terrestrial",0.301029996,"precocial"
"Neochen_jubata","Anatidae","Riverine","Open","Partially_migratory","Herbivore","Herbivore_terrestrial","Terrestrial",0.90309,"precocial"
"Netta_rufina","Anatidae","Wetland","Open","Partially_migratory","Herbivore","Herbivore_aquatic","Aquatic",0.953034457,"precocial"
"Nettapus_auritus","Anatidae","Wetland","Open","Sedentary","Omnivore","Herbivore_aquatic","Aquatic",0.954242509,"precocial"
"Nothocrax_urumutum","Cracidae","Forest","Dense","Sedentary","Herbivore","Frugivore","Terrestrial",0.301029996,"precocial"
"Numida_meleagris","Numididae","Forest","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",0.932600585,"precocial"
"Odontophorus_capueira","Odontophoridae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",0.602059991,"precocial"
"Oreortyx_pictus","Odontophoridae","Shrubland","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",1.009309217,"precocial"
"Ortalis_motmot","Cracidae","Forest","Dense","Sedentary","Herbivore","Frugivore","Insessorial",0.477121255,"precocial"
"Oxyura_leucocephala","Anatidae","Wetland","Open","Sedentary","Omnivore","Aquatic_predator","Aquatic",0.841984805,"precocial"
"Pavo_cristatus","Phasianidae","Forest","Semi_open","Sedentary","Omnivore","Omnivore","Terrestrial",0.72427587,"precocial"
"Penelope_purpurascens","Cracidae","Forest","Dense","Sedentary","Herbivore","Frugivore","Insessorial",0.301029996,"precocial"
"Perdicula_asiatica","Phasianidae","Shrubland","Semi_open","Sedentary","Herbivore","Granivore","Terrestrial",0.740362689,"precocial"
"Perdix_perdix","Phasianidae","Grassland","Open","Sedentary","Herbivore","Omnivore","Terrestrial",1.192428055,"precocial"
"Phasianus_colchicus","Phasianidae","Forest","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",1.040898888,"precocial"
"Philortyx_fasciatus","Odontophoridae","Shrubland","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",0.698970004,"precocial"
"Pipile_cumanensis","Cracidae","Forest","Dense","Sedentary","Herbivore","Frugivore","Insessorial",0.301029996,"precocial"
"Plectropterus_gambensis","Anatidae","Wetland","Open","Migratory","Herbivore","Omnivore","Terrestrial",0.903089987,"precocial"
"Polyplectron_napoleonis","Phasianidae","Forest","Dense","Sedentary","Omnivore","Omnivore","Terrestrial",0.301029996,"precocial"
"Polysticta_stelleri","Anatidae","Marine_coastal","Open","Migratory","Carnivore","Aquatic_predator","Aquatic",0.844062783,"precocial"
"Ptilopachus_petrosus","Phasianidae","Desert_rock","Open","Sedentary","Herbivore","Omnivore","Terrestrial",0.698970004,"precocial"
"Rheinardia_ocellata","Phasianidae","Forest","Dense","Sedentary","Omnivore","Omnivore","Terrestrial",0.30103,"precocial"
"Rollulus_rouloul","Phasianidae","Forest","Dense","Sedentary","Omnivore","Omnivore","Terrestrial",0.740362689,"precocial"
"Salvadorina_waigiuensis","Anatidae","Riverine","Open","Sedentary","Carnivore","Aquatic_predator","Aquatic",0.544068044,"precocial"
"Sarkidiornis_melanotos","Anatidae","Wetland","Open","Sedentary","Herbivore","Herbivore_aquatic","Generalist",0.997591847,"precocial"
"Somateria_spectabilis","Anatidae","Marine_coastal","Open","Migratory","Carnivore","Aquatic_predator","Aquatic",0.662757832,"precocial"
"Speculanas_specularis","Anatidae","Riverine","Open","Sedentary","Herbivore","Herbivore_aquatic","Generalist",0.740362689,"precocial"
"Stictonetta_naevosa","Anatidae","Wetland","Open","Partially_migratory","Herbivore","Herbivore_aquatic","Generalist",0.844849552,"precocial"
"Syrmaticus_mikado","Phasianidae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",0.69897,"precocial"
"Tachyeres_patachonicus","Anatidae","Marine_coastal","Open","Partially_migratory","Carnivore","Aquatic_predator","Aquatic",0.838149187,"precocial"
"Tadorna_tadorna","Anatidae","Marine_coastal","Open","Partially_migratory","Carnivore","Aquatic_predator","Generalist",0.971159836,"precocial"
"Thalassornis_leuconotus","Anatidae","Wetland","Open","Sedentary","Herbivore","Herbivore_aquatic","Aquatic",0.837272703,"precocial"
"Tragopan_satyra","Phasianidae","Forest","Dense","Sedentary","Herbivore","Herbivore_terrestrial","Generalist",0.397940009,"precocial"
"Tympanuchus_cupido","Phasianidae","Grassland","Open","Sedentary","Herbivore","Granivore","Terrestrial",1.052597763,"precocial"
