Tip_Label,Status,Family,Habitat,Habitat_Density,Trophic_Level,Trophic_Niche,Primary_Lifestyle
Anser_indicus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Anseranas_semipalmata,Extant,Anseranatidae,Wetland,Open,Herbivore,Omnivore,Terrestrial
Argusianus_argus,Extant,Phasianidae,Forest,Dense,Herbivore,Frugivore,Terrestrial
Aythya_affinis,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Aquatic
Aythya_americana,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Aythya_australis,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Aythya_collaris,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Aythya_ferina,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Aythya_fuligula,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Aythya_marila,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Aquatic
Aythya_novaeseelandiae,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Aythya_nyroca,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Aythya_valisineria,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Bambusicola_thoracicus,Extant,Phasianidae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
Biziura_lobata,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Bonasa_umbellus,Extant,Phasianidae,Shrubland,Dense,Herbivore,Herbivore_terrestrial,Generalist
Branta_bernicla,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Branta_canadensis,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Branta_hylobadistes,Extinct,Anatidae,Shrubland,Semi_open,Herbivore,Herbivore_terrestrial,Terrestrial
Branta_leucopsis,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Branta_rhuax,Extinct,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Branta_ruficollis,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Branta_sandvicensis,Extant,Anatidae,Shrubland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Bucephala_albeola,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Bucephala_clangula,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Bucephala_islandica,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Cairina_moschata,Extant,Anatidae,Wetland,Open,Omnivore,Omnivore,Generalist
Callipepla_squamata,Extant,Odontophoridae,Shrubland,Open,Herbivore,Omnivore,Terrestrial
Callonetta_leucophrys,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Catreus_wallichi,Extant,Phasianidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Centrocercus_urophasianus,Extant,Phasianidae,Shrubland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Cereopsis_novaehollandiae,Extant,Anatidae,Shrubland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chauna_chavaria,Extant,Anhimidae,Wetland,Open,Herbivore,Herbivore_aquatic,Terrestrial
Chauna_torquata,Extant,Anhimidae,Wetland,Open,Herbivore,Herbivore_aquatic,Terrestrial
Chen_caerulescens,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chen_canagica,Extant,Anatidae,Marine_coastal,Open,Herbivore,Omnivore,Terrestrial
Chen_rossii,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chenonetta_jubata,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chloephaga_melanoptera,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chloephaga_picta,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chloephaga_poliocephala,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chloephaga_rubidiceps,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chrysolophus_pictus,Extant,Phasianidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Cnemiornis_calcitrans,Extinct,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Colinus_virginianus,Extant,Odontophoridae,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial
Conflicto_antarcticus,Extinct,Stem_Anseriform,Marine_coastal,Open,Carnivore,Aquatic_predator,Aquatic
Coscoroba_coscoroba,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Terrestrial
Coturnix_coturnix,Extant,Phasianidae,Grassland,Open,Herbivore,Granivore,Terrestrial
Crax_rubra,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Terrestrial
Crossoptilon_auritum,Extant,Phasianidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Cyanochen_cyanoptera,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Cygnus_atratus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Cygnus_buccinator,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Cygnus_columbianus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Cygnus_cygnus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Cygnus_melancoryphus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Cygnus_olor,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Cyrtonyx_montezumae,Extant,Odontophoridae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
Dendragapus_obscurus,Extant,Phasianidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Generalist
Dendrocygna_arborea,Extant,Anatidae,Forest,Open,Herbivore,Omnivore,Terrestrial
Dendrocygna_arcuata,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Dendrocygna_autumnalis,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Dendrocygna_bicolor,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Terrestrial
Dendrocygna_guttata,Extant,Anatidae,Wetland,Open,Omnivore,Omnivore,Terrestrial
Dendrocygna_javanica,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Dendrocygna_viduata,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Eulipoa_wallacei,Extant,Megapodiidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Falcipennis_canadensis,Extant,Phasianidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Francolinus_natalensis,Extant,Phasianidae,Shrubland,Semi_open,Herbivore,Herbivore_terrestrial,Terrestrial
Galloperdix_bicalcarata,Extant,Phasianidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Gallus_gallus,Extant,Phasianidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Gastornis_giganteus,Extinct,Gastornithidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Guttera_pucherani,Extant,Numididae,Forest,Dense,Omnivore,Omnivore,Terrestrial
Heteronetta_atricapilla,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Histrionicus_histrionicus,Extant,Anatidae,Marine_coastal,Open,Carnivore,Aquatic_predator,Aquatic
Hymenolaimus_malacorhynchos,Extant,Anatidae,Riverine,Open,Carnivore,Aquatic_predator,Aquatic
Ithaginis_cruentus,Extant,Phasianidae,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial
Lagopus_lagopus,Extant,Phasianidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Leipoa_ocellata,Extant,Megapodiidae,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial
Lerwa_lerwa,Extant,Phasianidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Lophodytes_cucullatus,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Lophonetta_specularioides,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Generalist
Lophura_nycthemera,Extant,Phasianidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Macrocephalon_maleo,Extant,Megapodiidae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
Margaroperdix_madagascariensis,Extant,Phasianidae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
Marmaronetta_angustirostris,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Megapodius_nicobariensis,Extant,Megapodiidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Melanitta_fusca,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Melanitta_nigra,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Melanitta_perspicillata,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Meleagris_gallopavo,Extant,Phasianidae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
Merganetta_armata,Extant,Anatidae,Riverine,Open,Carnivore,Aquatic_predator,Aquatic
Mergellus_albellus,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Mergus_merganser,Extant,Anatidae,Riverine,Open,Carnivore,Aquatic_predator,Aquatic
Mergus_serrator,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Mitu_tomentosum,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Terrestrial
Neochen_jubata,Extant,Anatidae,Riverine,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Netta_peposaca,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Netta_rufina,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Nettapus_auritus,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Nettapus_coromandelianus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Nettapus_pulchellus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Nothocrax_urumutum,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Terrestrial
Numida_meleagris,Extant,Numididae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
Odontophorus_capueira,Extant,Odontophoridae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Oreortyx_pictus,Extant,Odontophoridae,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial
Ortalis_motmot,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Insessorial
Oxyura_jamaicensis,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Aquatic
Oxyura_leucocephala,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Aquatic
Oxyura_maccoa,Extant,Anatidae,Wetland,Open,Omnivore,Omnivore,Aquatic
Pavo_cristatus,Extant,Phasianidae,Forest,Semi_open,Omnivore,Omnivore,Terrestrial
Pelagornis_sandersi,Extinct,Pelagornithidae,Marine_coastal,Open,Carnivore,Aquatic_predator,Aquatic
Penelope_purpurascens,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Insessorial
Perdicula_asiatica,Extant,Phasianidae,Shrubland,Semi_open,Herbivore,Granivore,Terrestrial
Perdix_perdix,Extant,Phasianidae,Grassland,Open,Herbivore,Omnivore,Terrestrial
Phasianus_colchicus,Extant,Phasianidae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
Philortyx_fasciatus,Extant,Odontophoridae,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial
Pipile_cumanensis,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Insessorial
Plectropterus_gambensis,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Terrestrial
Polyplectron_napoleonis,Extant,Phasianidae,Forest,Dense,Omnivore,Omnivore,Terrestrial
Polysticta_stelleri,Extant,Anatidae,Marine_coastal,Open,Carnivore,Aquatic_predator,Aquatic
Presbyornis_pervetus,Extinct,Presbyornithidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Ptaiochen_pau,Extinct,Anatidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Ptilopachus_petrosus,Extant,Phasianidae,Desert_rock,Open,Herbivore,Omnivore,Terrestrial
Rheinardia_ocellata,Extant,Phasianidae,Forest,Dense,Omnivore,Omnivore,Terrestrial
Rollulus_rouloul,Extant,Phasianidae,Forest,Dense,Omnivore,Omnivore,Terrestrial
Salvadorina_waigiuensis,Extant,Anatidae,Riverine,Open,Carnivore,Aquatic_predator,Aquatic
Sarkidiornis_melanotos,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Generalist
Somateria_spectabilis,Extant,Anatidae,Marine_coastal,Open,Carnivore,Aquatic_predator,Aquatic
Speculanas_specularis,Extant,Anatidae,Riverine,Open,Herbivore,Herbivore_aquatic,Generalist
Stictonetta_naevosa,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Generalist
Sylviornis_neocaledoniae,Extinct,Sylviornithidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Syrmaticus_mikado,Extant,Phasianidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Tachyeres_brachypterus,Extant,Anatidae,Marine_coastal,Open,Carnivore,Aquatic_predator,Aquatic
Tachyeres_patachonicus,Extant,Anatidae,Marine_coastal,Open,Carnivore,Aquatic_predator,Aquatic
Tadorna_ferruginea,Extant,Anatidae,Wetland,Open,Omnivore,Omnivore,Terrestrial
Tadorna_radjah,Extant,Anatidae,Marine_coastal,Open,Carnivore,Aquatic_predator,Terrestrial
Tadorna_tadorna,Extant,Anatidae,Marine_coastal,Open,Carnivore,Aquatic_predator,Generalist
Tadorna_tadornoides,Extant,Anatidae,Wetland,Open,Omnivore,Omnivore,Terrestrial
Tadorna_variegata,Extant,Anatidae,Grassland,Open,Herbivore,Omnivore,Terrestrial
Thalassornis_leuconotus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Thambetochen_chauliodous,Extinct,Anatidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Tragopan_satyra,Extant,Phasianidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Generalist
Tympanuchus_cupido,Extant,Phasianidae,Grassland,Open,Herbivore,Granivore,Terrestrial
